1993-06-10 00:00:00 → 1993-06-14 00:00:00  receiver=TRIMBLE 4000ST/2361  antenna=TRM14532.00/7008
1994-05-26 00:00:00 → 1994-05-29 00:00:00  receiver=—/—  antenna=TRM14532.00/antenna-AUST-19940526
2000-03-26 00:00:00 → 2000-04-03 00:00:00  receiver=TRIMBLE 4000SSI/26093  antenna=TRM33429.00+GP/156516
2000-07-06 00:00:00 → 2000-07-07 00:00:00  receiver=TRIMBLE 4000SST/2459  antenna=TRM33429.20+GP/156024
2000-07-07 00:00:00 → 2000-07-08 00:00:00  receiver=TRIMBLE 4000SST/2459  antenna=TRM33429.20+GP/156024
2000-07-08 00:00:00 → 2000-07-10 00:00:00  receiver=TRIMBLE 4000SST/2459  antenna=TRM33429.20+GP/156024
2001-03-26 00:00:00 → 2001-04-03 00:00:00  receiver=TRIMBLE 4000SSI/25148  antenna=TRM33429.00+GP/156516
2001-06-12 00:00:00 → 2001-06-14 12:00:00  receiver=TRIMBLE 4000SSI/15404  antenna=TRM29659.00/190269
2002-05-22 00:00:00 → 2002-05-26 00:00:00  receiver=TRIMBLE 4000SSI/26094  antenna=TRM33429.20+GP/168784
2003-03-04 00:00:00 → 2003-03-10 00:00:00  receiver=TRIMBLE 4000SSI/25148  antenna=TRM33429.00+GP/156516
2003-06-18 00:00:00 → 2003-06-19 00:00:00  receiver=TRIMBLE 4000SSI/25992  antenna=TRM33429.20+GP/171774
2003-06-19 00:00:00 → 2003-06-21 00:00:00  receiver=TRIMBLE 4000SSI/25992  antenna=TRM33429.20+GP/171774
2004-01-27 00:00:00 → 2004-01-31 00:00:00  receiver=TRIMBLE 4000SSI/25148  antenna=TRM33429.20+GP/171774
2004-02-03 00:00:00 → 2004-02-09 00:00:00  receiver=TRIMBLE 4000SSI/14629  antenna=TRM33429.20+GP/221333
2004-06-14 00:00:00 → 2004-06-19 00:00:00  receiver=TRIMBLE 4000SSI/14629  antenna=TRM33429.20+GP/171774
2005-02-17 00:00:00 → 2005-02-23 00:00:00  receiver=TRIMBLE 5700/0220325904  antenna=TRM41249.00/12605840
2006-03-13 00:00:00 → 2006-03-17 00:00:00  receiver=TRIMBLE 5700/0220331856  antenna=TRM41249.00/12605840
2007-03-05 00:00:00 → 2007-03-20 00:00:00  receiver=TRIMBLE R7/0220330305  antenna=TRM41249.00/antenna-AUST-20070305
2008-07-18 00:00:00 → 2008-07-21 00:00:00  receiver=—/—  antenna=TRM41249.00/196282
2009-03-22 00:00:00 → 2009-03-31 00:00:00  receiver=TRIMBLE R7/0220390338  antenna=TRM41249.00/223471
2010-04-28 00:00:00 → 2011-06-13 00:00:00  receiver=TRIMBLE NETRS/4752143431  antenna=TRM41249.00/60220780
2011-06-13 00:00:00 → 2011-06-21 00:00:00  receiver=—/—  antenna=TRM41249.00/60220780
2011-06-21 00:00:00 → 2011-09-19 00:00:00  receiver=TRIMBLE NETR9/—  antenna=TRM57971.00/—
2011-09-19 00:00:00 → 2013-12-09 00:00:00  receiver=TRIMBLE NETR9/—  antenna=TRM57971.00/—
2013-12-09 00:00:00 → 2014-06-01 00:00:00  receiver=—/—  antenna=TRM57971.00/—
2014-06-01 00:00:00 → 2014-09-30 00:00:00  receiver=TRIMBLE NETR9/—  antenna=TRM57971.00/—
2014-09-30 00:00:00 → 2014-10-17 00:00:00  receiver=—/—  antenna=TRM57971.00/—
2014-10-17 00:00:00 → 2016-02-12 14:00:00  receiver=—/—  antenna=TRM57971.00/antenna-AUST-20110621
2016-02-12 14:00:00 → 2019-01-20 00:00:00  receiver=TRIMBLE NETR9/5212K83333  antenna=TRM57971.00/antenna-AUST-20110621
2019-01-20 00:00:00 → 2019-06-05 00:00:00  receiver=—/—  antenna=TRM57971.00/antenna-AUST-20110621
2019-06-05 00:00:00 → open  receiver=SEPT POLARX5/3047787                 antenna=TRM57971.00/antenna-AUST-20110621
